"","Model"
"218","BAC One-Eleven 516FP"
"219","BAC One-Eleven 518FG"
"220","BAC One-Eleven 520FN"
"221","BAC One-Eleven 521FH"
"222","BAC One-Eleven 523FJ"
"223","BAC One-Eleven 524FF"
"224","BAC One-Eleven 525FT"
"225","BAC One-Eleven 527FK"
"226","BAC One-Eleven 528FL"
"227","BAC One-Eleven 529FR"
"228","BAe 3101 Jetstream 31"
"229","BAe 3101 Jetstream 31EP"
"230","BAe 3102 Jetstream 31"
"231","BAe 3103 Jetstream 31"
"232","BAe 3112 Jetstream 31"
"233","BAe 3201 Jetstream 31"
"234","BAe 3201 Jetstream 32"
"235","BAe 3201 Jetstream 32EP"
"236","BAe 3202 Jetstream 32"
"237","BAe 3212 Jetstream 32"
"238","BAe 3212 Jetstream 32EP"
"239","BAe 4100 Jetstream 41"
"240","BAe 4101 Jetstream 41"
"241","BAe 4121 Jetstream 41"
"242","BAe-125 CC3 (HS-125-700)"
"243","BAe-125-700A"
"244","BAe-125-700B"
"245","BAe-125-800A"
"246","BAe-125-800B"
"247","BAe-125-800SP"
"248","BAe-146"
"249","BAe-146-100"
"250","BAe-146-200"
"251","BAe-146-200A"
"252","BAe-146-200QT"
"253","BAe-146-300"
"254","BAe-748"
"255","Basler BT-67 Turbo 67 (AC-47T)"
"256","Basler BT-67 Turbo 67 (DC-3T)"
"257","Beech 100 King Air"
"258","Beech 1900"
"259","Beech 1900C"
"260","Beech 1900C-1"
"261","Beech 1900D"
"262","Beech 200 Super King Air"
"263","Beech 200C Super King Air"
"264","Beech 200T Super King Air"
"265","Beech 300 Super King Air"
"266","Beech 300 Super King Air 350"
"267","Beech 300 Super King Air 350ER"
"268","Beech 300/F Super King Air"
"269","Beech 300LW Super King Air"
"270","Beech 65-B80 Queen Air"
"271","Beech 99"
"272","Beech 99A"
"273","Beech A100 King Air"
"274","Beech A200 Super King Air"
"275","Beech B100 King Air"
"276","Beech B200 Catpass 250"
"277","Beech B200 King Air"
"278","Beech B200 Super King Air"
"279","Beech B200C Super King Air"
"280","Beech B200GT King Air"
"281","Beech B200GT King Air 250"
"282","Beech B300 King Air 350"
"283","Beech B300 King Air 350i"
"284","Beech B300 Super King Air 350"
"285","Beech B300C Super King Air 350"
"286","Beech B99"
"287","Beech B99A"
"288","Beech Beechjet 400"
"289","Beech Beechjet 400A"
"290","Beech C-12F Huron  (A200CF Super Ki"
"291","Beech C-12F Huron (A200CT Super Kin"
"292","Beech C99"
"293","Beech Hawker BH-125-600A"
"294","Beech MC-12W Liberty (King Air 350)"
"295","Beech RC-12K Huron (A200CT Super Ki"
"296","Beech T-1A Jayhawk"
"297","Beriev Be-200ES"
"298","Blackburn Beverley C.1"
"299","Blériot 155"
"300","BN-2 Islander"
"301","BN-2A Islander"
"302","BN-2A Trislander Mk.III"
"303","BN-2A Trislander Mk.III-1"
"304","BN-2A Trislander Mk.III-2"
"305","BN-2A Trislander Mk.III-3"
"306","BN-2A-2 Islander"
"307","BN-2A-20 Islander"
"308","BN-2A-20 Islander"
"309","BN-2A-21 Islander"
"310","BN-2A-21 Islander"
"311","BN-2A-26 Islander"
